Paper title,Organization name,Label,ID
Highly area efficient and cost effective double stacked S/sup 3/ (stacked single-crystal Si) peripheral CMOS SSTFT and SRAM cell technology for 512M bit density SRAM,"R & D Center, Samsung Electronics Kiheung-Eup, Yongin-City, Kyungki-do, Korea",company,29
"Strained SOI technology for high-performance, low-power CMOS applications","MIRAI-ASET,Kawasaki,Japan",university,30
Damascene integration of copper and ultra-low-k xerogel for high performance interconnects,"Texas Instruments Inc, Dallas, TX, US",company,31
A crossing charge recycle refresh scheme with a separated driver sense-amplifier for Gb DRAMs,"ULSI Device Dev. Labs.,NEC Corp.,Kanagawa,Japan",company,32
Large-signal performance of high-BV/sub CEO/ graded epi-base SiGe HBTs at wireless frequencies,"IBM Microelectronics, Burlington, VT, USA",company,33
"A 65 nm CMOS technology with a high-performance and low-leakage transistor, a 0.55 /spl mu/m/sup 2/ 6T-SRAM cell and robust hybrid-ULK/Cu interconnects for mobile multimedia applications","Fujitsu Laboratories Ltd., Atsugi, Kanagawa, Japan",company,34
Low-power embedded ReRAM technology for IoT applications,"Incubation Center,Renesas Electronics Corp.,Shimokuzawa,Chuou-ku,Sagamihara,Japan",company,35
A DSL customer-premise equipment modem SoC with extended reach/rate for broadband bridging and routing,"Texas Instruments Bangalore and Texas Instruments,Dallas,TX",company,36
"An Artificial Iris ASIC with High Voltage Liquid Crystal Driver, 10 nA Light Range Detector and 40 nA Blink Detector for LCD Flicker Removal","Imec,Leuven,Belgium",research institute,37
First Demonstration of Low Temperature (≤500°C) CMOS Devices Featuring Functional RO and SRAM Bitcells toward 3D VLSI Integration,"imec from Samsung Electronics,Korea",company,38
Competitive and cost effective high-k based 28nm CMOS technology for low power applications,"IBM Semiconductor Research and Development Center (SRDC), Samsung Electronics Company Limited, Hopewell Junction, NY, USA",company,39
"Scalable 3D-FPGA using wafer-to-wafer TSV interconnect of 15 Tbps/W, 3.3 Tbps/mm2","Technology Research Department,Association of Super-Advanced Electronics Technologies (ASET),,Higashi-koigakubo,Kokubunji,Tokyo,,Japan",research institute,40
"21.8 An all-in-one (Qi, PMA and A4WP) 2.5W fully integrated wireless battery charger IC for wearable applications","MAPS,Yongin,Korea",company,41
High performance and low leakage current InGaAs-on-silicon FinFETs with 20 nm gate length,"Samsung Advanced Logic Lab,Austin,TX",company,42
Interconnect Scaling Scenario Using A Chip Level Interconnect Model,"Semiconductor Research Center,Matsushita Electric Industrial Co.,Ltd.,Yagumo-nakamachi,Moriguchi,Osaka,Japan",company,43
A 12 b 50 M sample/s cascaded folding and interpolating ADC,"Philips Composants et Semiconducteurs,Caen,France",company,44
Development of sub 10-µm ultra-thinning technology using device wafers for 3D manufacturing of terabit memory,"Fujitsu Laboratories Ltd.,Japan",company,45
A 3.1 to 5 GHz CMOS DSSS UWB transceiver for WPANs,"Sony,Tokyo,Japan",company,46
30.1 8b Thin-film microprocessor using a hybrid oxide-organic complementary technology with inkjet-printed P2ROM memory,"Panasonic,Osaka,Japan",company,47
Characterizing Electromigration Effects in a 16nm FinFET Process Using a Circuit Based Test Vehicle,"Cisco Systems, Hong Kong, China",company,48
"A 180MS/s, 162Mb/s wideband three-channel baseband and MAC processor for 802.11 a/b/g","Engim,Acton,MA,USA",company,49
