Sentence,Label,ID
"while not limited to these cases, to the extent the following cases are in conflict, they are overruled.",overruling,31
the court also offered no explanation for imposing the particular sentence it chose.,not overruling,32
"even if his earlier filings had passed muster, trying a case is more difficult than drafting minimally coherent documents.",not overruling,33
"to the extent that the holding in wilson v. bureau of state police, supra, conflicts with this opinion, it is overruled.",overruling,34
"furthermore, the trial court indicated in its order that it had """"consider[ed] . . . [appellant's] special appearance, the pleadings, the affidavits, and arguments of counsel.""""",not overruling,35
"see  boles, 554 so.2d at 961 ([i]f the county and other persons are not bound, then the status of the road as public or private is subject to being litigated again, and the results of later litigation may be inconsistent with the results of the initial litigation.).",not overruling,36
"see tex. r. app. p. 48.4; see also in re schulman, 252 s.w.3d at 412 n.35; ex parte owens, 206 s.w.3d 670, 673 (tex. crim. app. 2006).",not overruling,37
"we flatly rejected this logic a century ago in state ex rel. state capitol commission v. lister, 91 wash. 9, 156 p. 858 (1916), and we reject it again now.",overruling,38
"the tribe sold the land for a fixed sum of $50,000.",not overruling,39
"to the extent that these cases directly and indirectly misconstrued the rationale of hedges, they are hereby overruled.",overruling,40
"the supreme court has chosen not """"to prescribe a precise algorithm for determining the proper restitution amount.""""",not overruling,41
"see bassett, 528 f.3d at 430.",not overruling,42
"in this case, the trial court did not clearly err by finding clear and convincing evidence to support termination under mcl 712a.19b(3)(g) and (j).",not overruling,43
"to the extent that this opinion causes conflict with earlier decisions such as holmes, those cases are overruled.",overruling,44
"569 u.s., at   , 133 s.ct., at 1576(dissenting opinion).",not overruling,45
"we therefore overrule mcgore; and we hold, like every other circuit to have reached the issue, that under rule 15(a) a district court can allow a plaintiff to amend his complaint even when the complaint is subject to dismissal under the plra.",overruling,46
we disapprove this dicta.,overruling,47
"we disapprove abdelaziz as well as henderson v. north, 545 so.2d 486 (fla. 1st dca 1989), which adopted the principle of abdelaziz, to the extent that they disapproved a cause of action for negligent stillbirth.",overruling,48
"we therefore conclude that the improper-purpose doctrine has not worked well in practice, and that more good than harm will come by departing from precedent.",overruling,49
